date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:58:43	1647/1647	---MC-	200	added ('OK')	image/svg+xml	date:Mon,%2007%20Dec%202015%2009:21:33%20GMT	http://getbootstrap.com/assets/brand/bootstrap-punchout.svg	E:/b/getbootstrap.com/assets/brand/bootstrap-punchout.svg	(from http://getbootstrap.com/about/)
07:58:44	9340/9340	---MC-	404	error ('Not%20Found')	text/html	etag:W/%2255c2bb85-247c%22	http://getbootstrap.com/track.js	E:/b/getbootstrap.com/track.js	(from http://secure.gaug.es/track.js)
07:58:45	9340/9340	---MC-	404	error ('Not%20Found')	text/html	etag:W/%22564e3a5d-247c%22	http://getbootstrap.com/track.gif	E:/b/getbootstrap.com/track.gif	(from http://secure.gaug.es/track.js)
07:58:46	519/519	---MC-	200	added ('OK')	text/css	date:Mon,%2007%20Dec%202015%2009:21:33%20GMT	http://getbootstrap.com/assets/css/ie10-viewport-bug-workaround.css	E:/b/getbootstrap.com/assets/css/ie10-viewport-bug-workaround.css	(from http://getbootstrap.com/examples/starter-template/)
07:58:46	96/96	---MC-	200	added ('OK')	text/css	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/examples/starter-template/starter-template.css	E:/b/getbootstrap.com/examples/starter-template/starter-template.css	(from http://getbootstrap.com/examples/starter-template/)
07:58:47	255/255	---MC-	200	added ('OK')	text/css	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/examples/theme/theme.css	E:/b/getbootstrap.com/examples/theme/theme.css	(from http://getbootstrap.com/examples/theme/)
07:58:48	362/362	---MC-	200	added ('OK')	text/css	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/examples/grid/grid.css	E:/b/getbootstrap.com/examples/grid/grid.css	(from http://getbootstrap.com/examples/grid/)
07:58:48	23409/23409	---MC-	200	added ('OK')	text/css	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/dist/css/bootstrap-theme.min.css	E:/b/getbootstrap.com/dist/css/bootstrap-theme.min.css	(from http://getbootstrap.com/examples/theme/)
07:58:48	127/127	---MC-	200	added ('OK')	text/css	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/examples/jumbotron/jumbotron.css	E:/b/getbootstrap.com/examples/jumbotron/jumbotron.css	(from http://getbootstrap.com/examples/jumbotron/)
07:58:48	1411/1411	---MC-	200	added ('OK')	text/css	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/examples/jumbotron-narrow/jumbotron-narrow.css	E:/b/getbootstrap.com/examples/jumbotron-narrow/jumbotron-narrow.css	(from http://getbootstrap.com/examples/jumbotron-narrow/)
07:58:49	90/90	---MC-	200	added ('OK')	text/css	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/examples/navbar/navbar.css	E:/b/getbootstrap.com/examples/navbar/navbar.css	(from http://getbootstrap.com/examples/navbar/)
07:58:50	78/78	---MC-	200	added ('OK')	text/css	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/examples/navbar-static-top/navbar-static-top.css	E:/b/getbootstrap.com/examples/navbar-static-top/navbar-static-top.css	(from http://getbootstrap.com/examples/navbar-static-top/)
07:58:50	52/52	---MC-	200	added ('OK')	text/css	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/examples/navbar-fixed-top/navbar-fixed-top.css	E:/b/getbootstrap.com/examples/navbar-fixed-top/navbar-fixed-top.css	(from http://getbootstrap.com/examples/navbar-fixed-top/)
07:58:51	2531/2531	---MC-	200	added ('OK')	text/css	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/examples/cover/cover.css	E:/b/getbootstrap.com/examples/cover/cover.css	(from http://getbootstrap.com/examples/cover/)
07:58:51	2538/2538	---MC-	200	added ('OK')	text/css	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/examples/carousel/carousel.css	E:/b/getbootstrap.com/examples/carousel/carousel.css	(from http://getbootstrap.com/examples/carousel/)
